"Host","HostClass","HostOrder","HostFamily","HostGenus","ZoonoticHost","PathogenRichness","ZoonoticPathogenRichness","Pathogens","ZoonoticPathogens","HostCriteria"
"eulemur rubriventer","mammalia","primates","lemuridae","eulemur",TRUE,2,1,"fasciola sp., giardia intestinalis","giardia intestinalis","Broad (serology, sequencing or isolation)"
"eulemur rufus","mammalia","primates","lemuridae","eulemur",TRUE,7,4,"acinetobacter lwoffii, klebsiella pneumoniae, lelliottia amnigena, lemuricola vauceli, trichurus sp., balantioides coli, entamoeba sp.","acinetobacter lwoffii, klebsiella pneumoniae, lelliottia amnigena, balantioides coli","Broad (serology, sequencing or isolation)"
"eulidia yarrellii","aves","apodiformes","trochilidae","eulidia",TRUE,1,1,"chlamydia psittaci","chlamydia psittaci","Broad (serology, sequencing or isolation)"
"eumeces schneideri","lepidosauria","squamata","scincidae","eumeces",FALSE,1,0,"cryptosporidium varanii","","Broad (serology, sequencing or isolation)"
"eumetopias jubatus","mammalia","carnivora","otariidae","eumetopias",TRUE,27,8,"chlamydia psittaci, coxiella burnetii, edwardsiella tarda, streptococcus halichoeri, streptococcus phocae, adenocephalus pacificus, anisakis pegreffii, anisakis sp., contracaecum osculatum, corynosoma semerme, corynosoma strumosum, corynosoma validum, corynosoma villosum, diphyllobothrium tetrapterum, phocitrema fusiforme, pseudoterranova azarasi, pseudoterranova decipiens, avian orthoreovirus, canine mastadenovirus a, great island virus, grey sealpox virus, mamastrovirus 1, mamastrovirus 11, phocid alphaherpesvirus 1, phocid gammaherpesvirus 2, phocine morbillivirus, vesicular exanthema of swine virus","chlamydia psittaci, coxiella burnetii, edwardsiella tarda, streptococcus halichoeri, adenocephalus pacificus, great island virus, mamastrovirus 1, vesicular exanthema of swine virus","Broad (serology, sequencing or isolation)"
"eumops auripendulus","mammalia","chiroptera","molossidae","eumops",TRUE,1,1,"rabies lyssavirus","rabies lyssavirus","Broad (serology, sequencing or isolation)"
"eumops bonariensis","mammalia","chiroptera","molossidae","eumops",TRUE,1,1,"rabies lyssavirus","rabies lyssavirus","Broad (serology, sequencing or isolation)"
"eumops glaucinus","mammalia","chiroptera","molossidae","eumops",TRUE,1,1,"rabies lyssavirus","rabies lyssavirus","Broad (serology, sequencing or isolation)"
"eumops patagonicus","mammalia","chiroptera","molossidae","eumops",TRUE,1,1,"rabies lyssavirus","rabies lyssavirus","Broad (serology, sequencing or isolation)"
"eumops perotis","mammalia","chiroptera","molossidae","eumops",TRUE,1,1,"rabies lyssavirus","rabies lyssavirus","Broad (serology, sequencing or isolation)"
"eunectes murinus","lepidosauria","squamata","boidae","eunectes",FALSE,1,0,"reptilian ferlavirus","","Broad (serology, sequencing or isolation)"
"eunectes notaeus","lepidosauria","squamata","boidae","eunectes",TRUE,1,1,"aeromonas hydrophila","aeromonas hydrophila","Broad (serology, sequencing or isolation)"
"eunymphicus cornutus","aves","psittaciformes","psittacidae","eunymphicus",FALSE,1,0,"beak and feather disease virus","","Broad (serology, sequencing or isolation)"
"euoticus elegantulus","mammalia","primates","galagidae","euoticus",TRUE,1,1,"yellow fever virus","yellow fever virus","Broad (serology, sequencing or isolation)"
"eupetomena macroura","aves","apodiformes","trochilidae","eupetomena",TRUE,1,1,"serratia marcescens","serratia marcescens","Broad (serology, sequencing or isolation)"
"euphagus cyanocephalus","aves","passeriformes","icteridae","euphagus",TRUE,4,4,"coxiella burnetii, saint louis encephalitis virus, west nile virus, western equine encephalitis virus","coxiella burnetii, saint louis encephalitis virus, west nile virus, western equine encephalitis virus","Broad (serology, sequencing or isolation)"
"euphonia violacea","aves","passeriformes","fringillidae","euphonia",TRUE,1,1,"chlamydia psittaci","chlamydia psittaci","Broad (serology, sequencing or isolation)"
"euphractus sexcinctus","mammalia","cingulata","chlamyphoridae","euphractus",TRUE,1,1,"trypanosoma cruzi","trypanosoma cruzi","Broad (serology, sequencing or isolation)"
"euplectes afer","aves","passeriformes","ploceidae","euplectes",FALSE,2,0,"batama orthobunyavirus, tete orthobunyavirus","","Broad (serology, sequencing or isolation)"
"euplectes franciscanus","aves","passeriformes","ploceidae","euplectes",TRUE,1,1,"chlamydia psittaci","chlamydia psittaci","Broad (serology, sequencing or isolation)"
"euplectes orix","aves","passeriformes","ploceidae","euplectes",FALSE,1,0,"tete orthobunyavirus","","Broad (serology, sequencing or isolation)"
"eupodotis senegalensis","aves","gruiformes","otididae","eupodotis",TRUE,1,1,"influenza a virus","influenza a virus","Broad (serology, sequencing or isolation)"
"euprepiophis mandarinus","lepidosauria","squamata","colubridae","euprepiophis",TRUE,2,2,"pseudomonas aeruginosa, salmonella enterica","pseudomonas aeruginosa, salmonella enterica","Broad (serology, sequencing or isolation)"
"eupsittula aurea","aves","psittaciformes","psittacidae","eupsittula",TRUE,2,1,"chlamydia psittaci, psittacid alphaherpesvirus 1","chlamydia psittaci","Broad (serology, sequencing or isolation)"
"eupsittula canicularis","aves","psittaciformes","psittacidae","eupsittula",TRUE,2,1,"avian orthoavulavirus 1, psittacid alphaherpesvirus 1","avian orthoavulavirus 1","Broad (serology, sequencing or isolation)"
"eupsittula pertinax","aves","psittaciformes","psittacidae","eupsittula",TRUE,3,3,"[clostridium] piliforme, chlamydia psittaci, avian orthoavulavirus 1","[clostridium] piliforme, chlamydia psittaci, avian orthoavulavirus 1","Broad (serology, sequencing or isolation)"
"eurillas latirostris","aves","passeriformes","pycnonotidae","eurillas",FALSE,3,0,"haemoproteus vacuolatus, plasmodium globularis, plasmodium multivacuolaris","","Broad (serology, sequencing or isolation)"
"eurillas virens","aves","passeriformes","pycnonotidae","eurillas",TRUE,2,1,"trypanosoma everetti, usutu virus","usutu virus","Broad (serology, sequencing or isolation)"
"eurycea cirrigera","amphibia","caudata","plethodontidae","eurycea",FALSE,1,0,"frog virus 3","","Broad (serology, sequencing or isolation)"
"eurycea longicauda","amphibia","caudata","plethodontidae","eurycea",FALSE,1,0,"frog virus 3","","Broad (serology, sequencing or isolation)"
"eurycea lucifuga","amphibia","caudata","plethodontidae","eurycea",FALSE,1,0,"frog virus 3","","Broad (serology, sequencing or isolation)"
"eurycea nana","amphibia","caudata","plethodontidae","eurycea",FALSE,1,0,"batrachochytrium dendrobatidis","","Broad (serology, sequencing or isolation)"
"eurycea neotenes","amphibia","caudata","plethodontidae","eurycea",FALSE,1,0,"batrachochytrium dendrobatidis","","Broad (serology, sequencing or isolation)"
"eurycea pterophila","amphibia","caudata","plethodontidae","eurycea",FALSE,1,0,"batrachochytrium dendrobatidis","","Broad (serology, sequencing or isolation)"
"eurycea sosorum","amphibia","caudata","plethodontidae","eurycea",FALSE,1,0,"batrachochytrium dendrobatidis","","Broad (serology, sequencing or isolation)"
"eurycea tonkawae","amphibia","caudata","plethodontidae","eurycea",FALSE,1,0,"batrachochytrium dendrobatidis","","Broad (serology, sequencing or isolation)"
"eurycea wilderae","amphibia","caudata","plethodontidae","eurycea",FALSE,1,0,"frog virus 3","","Broad (serology, sequencing or isolation)"
"euryoryzomys macconnelli","mammalia","rodentia","cricetidae","euryoryzomys",TRUE,1,1,"trypanosoma cruzi","trypanosoma cruzi","Broad (serology, sequencing or isolation)"
"euryzygomatomys spinosus","mammalia","rodentia","echimyidae","euryzygomatomys",FALSE,1,0,"anopheles b orthobunyavirus","","Broad (serology, sequencing or isolation)"
"euthynnus affinis","actinopteri","scombriformes","scombridae","euthynnus",FALSE,1,0,"floriceps minacanthus","","Broad (serology, sequencing or isolation)"
"eutrigla gurnardus","actinopteri","perciformes","triglidae","eutrigla",FALSE,4,0,"plectanocotyle gurnardi, rhipidocotyle galeata, stephanostomum baccatum, infectious pancreatic necrosis virus","","Broad (serology, sequencing or isolation)"
"evynnis tumifrons","actinopteri","spariformes","sparidae","evynnis",TRUE,2,1,"edwardsiella tarda, piscine novirhabdovirus","edwardsiella tarda","Broad (serology, sequencing or isolation)"
"falco biarmicus","aves","falconiformes","falconidae","falco",TRUE,2,1,"mycobacterium avium, columbid alphaherpesvirus 1","mycobacterium avium","Broad (serology, sequencing or isolation)"
"falco cherrug","aves","falconiformes","falconidae","falco",TRUE,5,2,"ornithobacterium rhinotracheale, pseudomonas aeruginosa, cryptosporidium baileyi, columbid alphaherpesvirus 1, influenza a virus","pseudomonas aeruginosa, influenza a virus","Broad (serology, sequencing or isolation)"
"falco chicquera","aves","falconiformes","falconidae","falco",TRUE,2,1,"avian orthoavulavirus 1, columbid alphaherpesvirus 1","avian orthoavulavirus 1","Broad (serology, sequencing or isolation)"
"falco columbarius","aves","falconiformes","falconidae","falco",TRUE,6,3,"chlamydia psittaci, listeria monocytogenes, columbid alphaherpesvirus 1, falcon aviadenovirus a, fowl aviadenovirus d, west nile virus","chlamydia psittaci, listeria monocytogenes, west nile virus","Broad (serology, sequencing or isolation)"
"falco deiroleucus","aves","falconiformes","falconidae","falco",FALSE,1,0,"falcon aviadenovirus a","","Broad (serology, sequencing or isolation)"
"falco fasciinucha","aves","falconiformes","falconidae","falco",FALSE,1,0,"falcon aviadenovirus a","","Broad (serology, sequencing or isolation)"
"falco femoralis","aves","falconiformes","falconidae","falco",FALSE,1,0,"falcon aviadenovirus a","","Broad (serology, sequencing or isolation)"
"falco longipennis","aves","falconiformes","falconidae","falco",FALSE,1,0,"columbid alphaherpesvirus 1","","Broad (serology, sequencing or isolation)"
"falco mexicanus","aves","falconiformes","falconidae","falco",TRUE,3,2,"francisella tularensis, pasteurella multocida, columbid alphaherpesvirus 1","francisella tularensis, pasteurella multocida","Broad (serology, sequencing or isolation)"
"falco naumanni","aves","falconiformes","falconidae","falco",TRUE,3,3,"escherichia coli, avian orthoavulavirus 1, influenza a virus","escherichia coli, avian orthoavulavirus 1, influenza a virus","Broad (serology, sequencing or isolation)"
"falco peregrinus","aves","falconiformes","falconidae","falco",TRUE,7,2,"mycoplasma buteonis, avian orthoavulavirus 1, avian orthoreovirus, beak and feather disease virus, columbid alphaherpesvirus 1, falcon aviadenovirus a, influenza a virus","avian orthoavulavirus 1, influenza a virus","Broad (serology, sequencing or isolation)"
"falco punctatus","aves","falconiformes","falconidae","falco",TRUE,1,1,"west nile virus","west nile virus","Broad (serology, sequencing or isolation)"
"falco rusticolus","aves","falconiformes","falconidae","falco",TRUE,4,2,"escherichia albertii, columbid alphaherpesvirus 1, fowlpox virus, influenza a virus","escherichia albertii, influenza a virus","Broad (serology, sequencing or isolation)"
"falco sparverius","aves","falconiformes","falconidae","falco",TRUE,6,4,"coxiella burnetii, pasteurella multocida, yersinia enterocolitica, columbid alphaherpesvirus 1, falcon aviadenovirus a, west nile virus","coxiella burnetii, pasteurella multocida, yersinia enterocolitica, west nile virus","Broad (serology, sequencing or isolation)"
"falco subbuteo","aves","falconiformes","falconidae","falco",TRUE,1,1,"avian orthoavulavirus 1","avian orthoavulavirus 1","Broad (serology, sequencing or isolation)"
"falco tinnunculus","aves","falconiformes","falconidae","falco",TRUE,16,9,"aeromonas hydrophila, coxiella burnetii, escherichia coli, ornithobacterium rhinotracheale, salmonella enterica, hydatigera taeniaeformis, trichomonas gallinae, trypanosoma avium, aves polyomavirus 1, avian orthoavulavirus 1, columbid alphaherpesvirus 1, harkavirus a, influenza a virus, orthohepevirus a, usutu virus, west nile virus","aeromonas hydrophila, coxiella burnetii, escherichia coli, salmonella enterica, avian orthoavulavirus 1, influenza a virus, orthohepevirus a, usutu virus, west nile virus","Broad (serology, sequencing or isolation)"
"falco vespertinus","aves","falconiformes","falconidae","falco",TRUE,2,1,"fowlpox virus, orthohepevirus a","orthohepevirus a","Broad (serology, sequencing or isolation)"
"fejervarya limnocharis","amphibia","anura","dicroglossidae","fejervarya",FALSE,1,0,"frog virus 3","","Broad (serology, sequencing or isolation)"
"felis catus","mammalia","carnivora","felidae","felis",TRUE,258,182,"[clostridium] piliforme, [haemophilus] felis, acinetobacter baumannii, actinobacillus suis, actinomyces bowdenii, actinomyces viscosus, aeromonas sobria, aliarcobacter butzleri, aliarcobacter cryaerophilus, anaerobiospirillum succiniciproducens, anaerobiospirillum thomasii, anaplasma bovis, anaplasma phagocytophilum, anaplasma platys, arcanobacterium canis, bacteroides heparinolyticus, bacteroides pyogenes, bacteroides zoogleoformans, bartonella bovis, bartonella clarridgeiae, bartonella henselae, bartonella koehlerae, bartonella quintana, bartonella weissi, bergeyella zoohelcum, bordetella bronchiseptica, borrelia persica, borreliella burgdorferi, brucella abortus, burkholderia pseudomallei, campylobacter coli, campylobacter helveticus, campylobacter jejuni, campylobacter upsaliensis, campylobacter ureolyticus, capnocytophaga canimorsus, capnocytophaga cynodegmi, chlamydia caviae, chlamydia felis, clostridioides difficile, clostridium botulinum, clostridium perfringens, clostridium tetani, conchiformibius kuhniae, corynebacterium diphtheriae, corynebacterium jeikeium, corynebacterium ulcerans, corynebacterium urealyticum, coxiella burnetii, dermatophilus congolensis, ehrlichia canis, elizabethkingia meningoseptica, enterococcus faecium, enterococcus hirae, enterococcus raffinosus, erysipelothrix rhusiopathiae, escherichia albertii, escherichia coli, filifactor villosus, francisella tularensis, frederiksenia canicola, fusobacterium canifelinum, fusobacterium russii, hathewaya limosa, helicobacter baculiformis, helicobacter canis, helicobacter felis, helicobacter heilmannii, helicobacter marmotae, helicobacter pylori, helicobacter salomonis, mammaliicoccus lentus, mammaliicoccus sciuri, moraxella canis, mycobacterium avium, mycobacterium genavense, mycobacterium heckeshornense, mycobacterium lepraemurium, mycobacterium simiae, mycobacterium tuberculosis, mycobacterium ulcerans, mycobacterium visibile, mycobacterium xenopi, mycobacteroides chelonae, mycolicibacterium fortuitum, mycolicibacterium smegmatis, mycoplasma arginini, mycoplasma feliminutum, mycoplasma felis, mycoplasma gateae, mycoplasma haemocanis, mycoplasma haemofelis, neisseria canis, neorickettsia risticii, nocardia africana, nocardia asteroides, nocardia brasiliensis, nocardia cyriacigeorgica, nocardia elegans, nocardia farcinica, nocardia nova, nocardia otitidiscaviarum, nocardia tenerifensis, pasteurella canis, pasteurella dagmatis, pasteurella multocida, pasteurella oralis, pasteurella stomatis, peptostreptococcus anaerobius, plesiomonas shigelloides, porphyromonas circumdentaria, porphyromonas gingivalis, porphyromonas gulae, porphyromonas macacae, prevotella bivia, pseudomonas aeruginosa, rhodococcus hoagii, rickettsia felis, rickettsia japonica, rickettsia typhi, rodentibacter pneumotropicus, salmonella enterica, schaalia meyeri, serratia marcescens, staphylococcus aureus, staphylococcus capitis, staphylococcus epidermidis, staphylococcus equorum, staphylococcus felis, staphylococcus gallinarum, staphylococcus haemolyticus, staphylococcus intermedius, staphylococcus lugdunensis, staphylococcus pseudintermedius, staphylococcus schleiferi, staphylococcus simulans, staphylococcus xylosus, stenotrophomonas maltophilia, streptobacillus felis, streptobacillus moniliformis, streptococcus agalactiae, streptococcus canis, streptococcus equi, streptococcus intermedius, streptococcus minor, streptococcus pluranimalium, streptomyces griseus, trueperella pyogenes, vagococcus fluvialis, yersinia enterocolitica, yersinia pestis, yersinia pseudotuberculosis, cladophialophora bantiana, cryptococcus neoformans, encephalitozoon cuniculi, enterocytozoon bieneusi, fusarium proliferatum, malassezia nana, malassezia slooffiae, malassezia sympodialis, microsporum canis, pythium insidiosum, trichophyton benhamiae, trichophyton mentagrophytes, aelurostrongylus abstrusus, ancylostoma braziliense, ancylostoma ceylanicum, ancylostoma tubaeforme, brugia malayi, brugia pahangi, clonorchis sinensis, dirofilaria immitis, dirofilaria repens, haplorchis pumilio, haplorchis taichui, hydatigera taeniaeformis, onchocerca lupi, opisthorchis felineus, pharyngostomum cordatum, spirometra erinaceieuropaei, toxocara canis, toxocara cati, toxocara malaysiensis, toxocara vitulorum, babesia canis, babesia felis, babesia leo, cryptosporidium felis, cryptosporidium muris, cryptosporidium parvum, cystoisospora felis, cytauxzoon felis, giardia intestinalis, hammondia hammondi, hepatozoon canis, hepatozoon felis, isospora rivolta, leishmania mexicana, sarcocystis felis, sarcocystis fusiformis, sarcocystis neurona, toxoplasma gondii, tritrichomonas foetus, aichivirus a, alphacoronavirus 1, barmah forest virus, betapapillomavirus 2, bluetongue virus, bovine gammaherpesvirus 4, cardiovirus a, carnivore bocaparvovirus 3, carnivore bocaparvovirus 4, carnivore bocaparvovirus 5, carnivore bocaparvovirus 6, carnivore protoparvovirus 1, chicken anemia virus, cowpox virus, dabie bandavirus, deltapapillomavirus 4, domestic cat hepatitis b virus, dyothetapapillomavirus 1, european bat 1 lyssavirus, felid alphaherpesvirus 1, felid gammaherpesvirus 1, feline associated cyclovirus 1, feline calicivirus, feline foamy virus, feline immunodeficiency virus, feline leukemia virus, feline morbillivirus, human gammaherpesvirus 4, human mastadenovirus c, influenza a virus, japanese encephalitis virus, lagos bat lyssavirus, lambdapapillomavirus 1, mamastrovirus 2, mammalian 1 orthobornavirus, mokola lyssavirus, murine orthopneumovirus, nipah henipavirus, norwalk virus, orthohepevirus a, porcine circovirus 2, puumala orthohantavirus, rabies lyssavirus, raccoonpox virus, rotavirus a, rotavirus i, sakobuvirus a, seoul orthohantavirus, severe acute respiratory syndrome-related coronavirus, suid alphaherpesvirus 1, taupapillomavirus 3, torque teno felis virus, torque teno felis virus 2, toscana phlebovirus, vaccinia virus","[clostridium] piliforme, acinetobacter baumannii, actinobacillus suis, actinomyces viscosus, aeromonas sobria, aliarcobacter butzleri, aliarcobacter cryaerophilus, anaerobiospirillum succiniciproducens, anaerobiospirillum thomasii, anaplasma phagocytophilum, anaplasma platys, bacteroides heparinolyticus, bacteroides pyogenes, bacteroides zoogleoformans, bartonella clarridgeiae, bartonella henselae, bartonella koehlerae, bartonella quintana, bergeyella zoohelcum, bordetella bronchiseptica, borrelia persica, borreliella burgdorferi, brucella abortus, burkholderia pseudomallei, campylobacter coli, campylobacter jejuni, campylobacter upsaliensis, campylobacter ureolyticus, capnocytophaga canimorsus, capnocytophaga cynodegmi, chlamydia caviae, chlamydia felis, clostridioides difficile, clostridium botulinum, clostridium perfringens, clostridium tetani, corynebacterium diphtheriae, corynebacterium jeikeium, corynebacterium ulcerans, corynebacterium urealyticum, coxiella burnetii, dermatophilus congolensis, ehrlichia canis, elizabethkingia meningoseptica, enterococcus faecium, enterococcus hirae, enterococcus raffinosus, erysipelothrix rhusiopathiae, escherichia albertii, escherichia coli, francisella tularensis, frederiksenia canicola, fusobacterium russii, hathewaya limosa, helicobacter canis, helicobacter felis, helicobacter heilmannii, helicobacter pylori, helicobacter salomonis, mammaliicoccus lentus, mammaliicoccus sciuri, moraxella canis, mycobacterium avium, mycobacterium genavense, mycobacterium heckeshornense, mycobacterium simiae, mycobacterium tuberculosis, mycobacterium ulcerans, mycobacterium xenopi, mycobacteroides chelonae, mycolicibacterium fortuitum, mycolicibacterium smegmatis, mycoplasma arginini, mycoplasma felis, neisseria canis, nocardia africana, nocardia asteroides, nocardia brasiliensis, nocardia cyriacigeorgica, nocardia elegans, nocardia farcinica, nocardia nova, nocardia otitidiscaviarum, pasteurella canis, pasteurella dagmatis, pasteurella multocida, pasteurella oralis, pasteurella stomatis, peptostreptococcus anaerobius, plesiomonas shigelloides, porphyromonas circumdentaria, porphyromonas gingivalis, porphyromonas macacae, prevotella bivia, pseudomonas aeruginosa, rhodococcus hoagii, rickettsia felis, rickettsia japonica, rickettsia typhi, rodentibacter pneumotropicus, salmonella enterica, schaalia meyeri, serratia marcescens, staphylococcus aureus, staphylococcus capitis, staphylococcus epidermidis, staphylococcus gallinarum, staphylococcus haemolyticus, staphylococcus intermedius, staphylococcus lugdunensis, staphylococcus pseudintermedius, staphylococcus schleiferi, staphylococcus simulans, staphylococcus xylosus, stenotrophomonas maltophilia, streptobacillus moniliformis, streptococcus agalactiae, streptococcus canis, streptococcus equi, streptococcus intermedius, streptococcus minor, streptococcus pluranimalium, streptomyces griseus, trueperella pyogenes, vagococcus fluvialis, yersinia enterocolitica, yersinia pestis, yersinia pseudotuberculosis, cryptococcus neoformans, encephalitozoon cuniculi, enterocytozoon bieneusi, fusarium proliferatum, malassezia slooffiae, malassezia sympodialis, microsporum canis, pythium insidiosum, trichophyton benhamiae, trichophyton mentagrophytes, ancylostoma braziliense, ancylostoma ceylanicum, brugia malayi, clonorchis sinensis, dirofilaria immitis, dirofilaria repens, haplorchis pumilio, haplorchis taichui, onchocerca lupi, spirometra erinaceieuropaei, cryptosporidium felis, cryptosporidium muris, cryptosporidium parvum, giardia intestinalis, leishmania mexicana, toxoplasma gondii, tritrichomonas foetus, aichivirus a, alphacoronavirus 1, barmah forest virus, betapapillomavirus 2, cardiovirus a, chicken anemia virus, cowpox virus, dabie bandavirus, european bat 1 lyssavirus, human gammaherpesvirus 4, human mastadenovirus c, influenza a virus, japanese encephalitis virus, mammalian 1 orthobornavirus, mokola lyssavirus, nipah henipavirus, norwalk virus, orthohepevirus a, porcine circovirus 2, puumala orthohantavirus, rabies lyssavirus, rotavirus a, seoul orthohantavirus, severe acute respiratory syndrome-related coronavirus, suid alphaherpesvirus 1, toscana phlebovirus, vaccinia virus","Broad (serology, sequencing or isolation)"
